dist,population,eucl_dist_median,transit_dist_median,transit_dura_median,driving_dist_median,driving_dura_median,eucl_dist_mean,transit_dist_mean,transit_dura_mean,driving_dist_mean,driving_dura_mean,eucl_dist_ci,transit_dist_ci,transit_dura_ci,driving_dist_ci,driving_dura_ci
0.5,3635,2247.2916666666665,3995.0,2167.414783391628,3656.0,907.6666666666666,3377.123521320495,5454.497840296561,2469.2404378827255,5035.264511796873,1094.1648481081127,104.2178790947763,137.76582587855785,29.19488461302359,125.49297067735353,17.13652641755351
1.5,16726,2683.4324324324325,4154.0,2188.99591506116,4193.0,995.6666666666666,3590.608573478417,5535.240367967433,2489.175181393043,5369.608041355051,1165.2430606918604,51.21500385596675,66.46852064265889,14.04736563176373,61.49364783759014,8.241895122195817
2.5,31819,2938.346153846154,4535.666666666667,2279.6666666666665,4599.0,1115.8750454948038,3760.825890191395,5814.628097837007,2596.709697255152,5602.9164623625475,1220.871774096088,35.73142697909805,47.29418470487007,10.123772231315536,43.881944451329574,5.953331384981011
3.5,26779,3309.714285714286,4964.333333333333,2395.6666666666665,4902.0,1154.0,4056.658164980022,6152.4776155232785,2684.8006423041415,5927.85614645408,1280.9180923932051,41.07090069123253,54.25745547519038,11.658572285146398,50.2002121982504,6.994804883303253
4.5,25718,3616.7894736842104,5421.833333333334,2515.305506589464,5294.0,1217.7823726294587,4251.666459289214,6404.6072293251345,2729.232741814754,6142.625439683604,1330.78355579216,41.93928145273088,54.9103578708184,11.88272201693779,51.15242491424988,7.431008096283848
5.5,30522,3807.3478260869565,5839.527955389148,2570.0,5552.19381952953,1235.0,4434.881888473888,6710.167497254333,2787.0166343358833,6385.9901692834865,1331.183269924769,38.6440888382947,51.827954345822164,11.575315270976835,47.64245917733457,7.137541217500429
6.5,27679,4262.125,6539.0,2787.3333333333335,6196.0,1277.3333333333333,4768.5886050796635,7285.082356049947,2946.667245892623,6821.933685371611,1381.8318266272997,40.54730919541253,55.05660458213464,12.570011851091595,50.15112610244472,7.8600226317816855
7.5,11670,4477.55,6844.666666666666,2936.0,6579.0,1306.0,5033.796143958869,7653.464706537542,3037.676352275373,7248.151183289617,1421.4065521259909,62.69965695940877,84.81542632659247,19.38865985156437,76.69433093111202,12.318384702803375
8.5,14334,5449.5,8140.5,3131.0,7651.0,1437.6666666666667,5808.560136737826,8733.10800866662,3226.921761124529,8096.912977795507,1498.6499655362788,62.38445091282548,84.78856401382515,18.82666850184875,76.69108023573544,11.708817920950668
9.5,6662,6285.75,9067.0,3465.4130279124856,8741.5,1538.6666666666667,6480.70414290003,9518.307949521799,3478.5215179460615,8943.898039947631,1571.4150729531625,95.3827073986061,128.00652186419302,28.59941750602455,117.72897345158502,18.2129704414062
10.5,4975,5763.25,8113.0,2867.3333333333335,7640.0,1414.0,6342.184321608041,9215.089530084511,3086.160670904392,8659.957949746658,1555.0466823504864,118.9198693361439,157.7011698166954,33.89721620297047,145.56326432618602,22.409064002465534
11.5,2915,5295.5,7752.0,2763.6666666666665,7011.0,1202.165148878464,5983.106689536879,8759.664001759316,3048.277698944826,8275.31323433373,1432.17590282297,161.8677784050383,217.84737389507706,44.79138574974617,200.47900355549922,29.701284219471486
12.5,1736,3330.6666666666665,5975.0,2554.3964018182355,4796.225739850601,839.9378114977997,5319.5086405529955,7986.953653649935,2966.117758317829,7511.915263000293,1225.9337558076377,221.73120730571014,288.67162741863234,56.79209511021961,272.7804717176194,37.434003199674095
13.5,1868,4436.5,7082.0,2828.5,6692.0,1082.4331001208384,6850.599036402569,10319.489267837615,3277.5377448516533,9721.363245480847,1496.4093387035725,266.98921117185824,364.7730593829038,64.06445554663759,339.7028320758416,40.02549392071338
14.5,3002,5430.5,8239.778748336075,3237.824510775486,8165.0,1249.1787613735396,7707.645902731512,11270.685712880846,3571.749450868089,10472.716896920021,1554.232271889482,225.1556375046677,295.9749179911519,53.83614238263245,274.50256044711114,33.53678324312019
15.5,2826,4965.933333333333,7511.0,2854.423879000451,7018.847726206959,1186.6138205863344,7873.348549186128,11097.273660260244,3382.1156627845044,10452.727295588533,1550.0798410358038,240.85022858434706,316.45285158135226,59.31383185898303,293.4907714919713,36.67819607262723
16.5,1089,3479.5,5814.0,2575.3333333333335,6315.0,952.6666666666666,6179.8145087236,8976.056685264879,3154.6053952862353,8874.8107013124,1365.42719560523,356.0059531417159,452.2910759928711,85.33250459803061,422.830664929854,53.870197259537534
17.5,5247,2480.6,4202.0,2174.5814001817034,3746.0,781.6697519964621,4384.122165046693,6779.106385604137,2616.0216562073642,6190.457296714021,991.3290930192763,133.335451785651,172.58804518211474,33.371665261414286,162.7128345551973,21.45365002499463
18.5,711,3389.2,5672.932293748289,2514.6666666666665,5221.0,805.5535610620655,5137.412095639944,7961.445738890188,2890.955089063601,7320.905075534611,1112.7766279715217,359.6926084210898,478.8943464326691,97.5142862898553,450.0496922599358,59.02866424002026
19.5,1396,2702.6666666666665,4258.0,2214.043188574311,3875.0,803.8205104939171,4313.32664756447,6883.9048241830915,2755.939220663266,6329.14568804379,1032.2227215281482,267.50080385969824,349.4260606296251,66.16155608232924,328.9522143095407,41.521313690222215
20.5,767,2928.8,4857.0,2210.3333333333335,4225.0,798.7343224332405,4298.16036505867,6920.8536731928025,2702.063612675377,6175.904612985189,981.9259566628317,338.159517932959,442.89672767616787,85.4720463503624,411.3017440006268,51.447777895027755
